x,T_7,T_30,T_365
0.0,30.0,30.0,30.0
0.005,29.970000000000027,29.99000000000001,30.0
0.01,29.950000000000045,29.980000000000018,29.99000000000001
0.015,29.920000000000016,29.970000000000027,29.99000000000001
0.02,29.890000000000043,29.950000000000045,29.99000000000001
0.025,29.860000000000014,29.939999999999998,29.99000000000001
0.03,29.83000000000004,29.930000000000007,29.980000000000018
0.035,29.80000000000001,29.910000000000025,29.980000000000018
0.04,29.77000000000004,29.900000000000034,29.980000000000018
0.045,29.730000000000018,29.890000000000043,29.970000000000027
0.05,29.700000000000045,29.870000000000005,29.970000000000027
0.055,29.670000000000016,29.860000000000014,29.970000000000027
0.06,29.629999999999995,29.840000000000032,29.960000000000036
0.065,29.600000000000023,29.83000000000004,29.960000000000036
0.07,29.560000000000002,29.810000000000002,29.960000000000036
0.075,29.53000000000003,29.80000000000001,29.950000000000045
0.08,29.49000000000001,29.78000000000003,29.950000000000045
0.085,29.460000000000036,29.77000000000004,29.939999999999998
0.09,29.420000000000016,29.75,29.939999999999998
0.095,29.390000000000043,29.74000000000001,29.939999999999998
0.1,29.360000000000014,29.720000000000027,29.930000000000007
0.105,29.32000000000005,29.710000000000036,29.930000000000007
0.11,29.29000000000002,29.689999999999998,29.930000000000007
0.115,29.25,29.680000000000007,29.920000000000016
0.12,29.220000000000027,29.660000000000025,29.920000000000016
0.125,29.180000000000007,29.650000000000034,29.920000000000016
0.13,29.150000000000034,29.629999999999995,29.910000000000025
0.135,29.110000000000014,29.610000000000014,29.910000000000025
0.14,29.08000000000004,29.600000000000023,29.900000000000034
0.145,29.04000000000002,29.58000000000004,29.900000000000034
0.15,29.010000000000048,29.57000000000005,29.900000000000034
0.155,28.970000000000027,29.55000000000001,29.890000000000043
0.16,28.939999999999998,29.53000000000003,29.890000000000043
0.165,28.900000000000034,29.52000000000004,29.879999999999995
0.17,28.870000000000005,29.5,29.879999999999995
0.175,28.83000000000004,29.49000000000001,29.879999999999995
0.18,28.80000000000001,29.470000000000027,29.870000000000005
0.185,28.760000000000048,29.450000000000045,29.870000000000005
0.19,28.730000000000018,29.439999999999998,29.870000000000005
0.195,28.689999999999998,29.420000000000016,29.860000000000014
0.2,28.660000000000025,29.410000000000025,29.860000000000014
0.205,28.620000000000005,29.390000000000043,29.850000000000023
0.21,28.590000000000032,29.370000000000005,29.850000000000023
0.215,28.560000000000002,29.360000000000014,29.850000000000023
0.22,28.52000000000004,29.340000000000032,29.840000000000032
0.225,28.49000000000001,29.33000000000004,29.840000000000032
0.23,28.450000000000045,29.310000000000002,29.83000000000004
0.235,28.420000000000016,29.29000000000002,29.83000000000004
0.24,28.379999999999995,29.28000000000003,29.83000000000004
0.245,28.350000000000023,29.260000000000048,29.82000000000005
0.25,28.310000000000002,29.24000000000001,29.82000000000005
0.255,28.28000000000003,29.230000000000018,29.810000000000002
0.26,28.25,29.210000000000036,29.810000000000002
0.265,28.210000000000036,29.200000000000045,29.810000000000002
0.27,28.180000000000007,29.180000000000007,29.80000000000001
0.275,28.140000000000043,29.160000000000025,29.80000000000001
0.28,28.110000000000014,29.150000000000034,29.79000000000002
0.285,28.08000000000004,29.129999999999995,29.79000000000002
0.29,28.04000000000002,29.120000000000005,29.78000000000003
0.295,28.010000000000048,29.100000000000023,29.78000000000003
0.3,27.970000000000027,29.08000000000004,29.78000000000003
0.305,27.939999999999998,29.07000000000005,29.77000000000004
0.31,27.910000000000025,29.05000000000001,29.77000000000004
0.315,27.870000000000005,29.03000000000003,29.760000000000048
0.32,27.840000000000032,29.02000000000004,29.760000000000048
0.325,27.80000000000001,29.0,29.760000000000048
0.33,27.77000000000004,28.99000000000001,29.75
0.335,27.74000000000001,28.970000000000027,29.75
0.34,27.700000000000045,28.950000000000045,29.74000000000001
0.345,27.670000000000016,28.939999999999998,29.74000000000001
0.35,27.640000000000043,28.920000000000016,29.730000000000018
0.355,27.600000000000023,28.910000000000025,29.730000000000018
0.36,27.57000000000005,28.890000000000043,29.730000000000018
0.365,27.54000000000002,28.870000000000005,29.720000000000027
0.37,27.5,28.860000000000014,29.720000000000027
0.375,27.470000000000027,28.840000000000032,29.710000000000036
0.38,27.439999999999998,28.83000000000004,29.710000000000036
0.385,27.400000000000034,28.810000000000002,29.710000000000036
0.39,27.370000000000005,28.79000000000002,29.700000000000045
0.395,27.340000000000032,28.78000000000003,29.700000000000045
0.4,27.310000000000002,28.760000000000048,29.689999999999998
0.405,27.27000000000004,28.74000000000001,29.689999999999998
0.41,27.24000000000001,28.730000000000018,29.680000000000007
0.415,27.210000000000036,28.710000000000036,29.680000000000007
0.42,27.170000000000016,28.700000000000045,29.680000000000007
0.425,27.140000000000043,28.680000000000007,29.670000000000016
0.43,27.110000000000014,28.660000000000025,29.670000000000016
0.435,27.08000000000004,28.650000000000034,29.660000000000025
0.44,27.04000000000002,28.629999999999995,29.660000000000025
0.445,27.010000000000048,28.620000000000005,29.650000000000034
0.45,26.980000000000018,28.600000000000023,29.650000000000034
0.455,26.950000000000045,28.58000000000004,29.650000000000034
0.46,26.910000000000025,28.57000000000005,29.640000000000043
0.465,26.879999999999995,28.55000000000001,29.640000000000043
0.47,26.850000000000023,28.54000000000002,29.629999999999995
0.475,26.82000000000005,28.52000000000004,29.629999999999995
0.48,26.79000000000002,28.5,29.620000000000005
0.485,26.75,28.49000000000001,29.620000000000005
0.49,26.720000000000027,28.470000000000027,29.620000000000005
0.495,26.689999999999998,28.460000000000036,29.610000000000014
0.5,26.660000000000025,28.439999999999998,29.610000000000014
0.505,26.629999999999995,28.430000000000007,29.600000000000023
0.51,26.590000000000032,28.410000000000025,29.600000000000023
0.515,26.560000000000002,28.390000000000043,29.590000000000032
0.52,26.53000000000003,28.379999999999995,29.590000000000032
0.525,26.5,28.360000000000014,29.58000000000004
0.53,26.470000000000027,28.350000000000023,29.58000000000004
0.535,26.439999999999998,28.33000000000004,29.58000000000004
0.54,26.410000000000025,28.310000000000002,29.57000000000005
0.545,26.370000000000005,28.30000000000001,29.57000000000005
0.55,26.340000000000032,28.28000000000003,29.560000000000002
0.555,26.310000000000002,28.27000000000004,29.560000000000002
0.56,26.28000000000003,28.25,29.55000000000001
0.565,26.25,28.230000000000018,29.55000000000001
0.57,26.220000000000027,28.220000000000027,29.55000000000001
0.575,26.189999999999998,28.200000000000045,29.54000000000002
0.58,26.160000000000025,28.189999999999998,29.54000000000002
