X_7days-100R40,T_7days-100R40,X_30days-100R40,T_30days-100R40,X_365days-100R40,T_365days-100R40,X_7days-100R80,T_7days-100R80,X_30days-100R80,T_30days-100R80,X_365days-100R80,T_365days-100R80,X_7days-200R80,T_7days-200R80,X_30days-200R80,T_30days-200R80,X_365days-200R80,T_365days-200R80,X_7days-200R40,T_7days-200R40,X_30days-200R40,T_30days-200R40,X_365days-200R40,T_365days-200R40
0.00,30.00,0.00,30.00,0.00,30.00,0.00,30.00,0.00,30.00,0.000,30.00,0.00,30.00,0.00,30.00,0.00,30.00,0.00,30.00,0.00,30.00,0.00,30.00
0.166,29.166,0.094,29.783,0.109,29.964,0.083,29.603,0.094,29.818,0.103,29.963,0.068,29.669,0.096,29.786,0.104,29.944,0.074,29.676,0.099,29.820,0.104,29.979
0.263,28.687,0.222,29.459,0.254,29.874,0.170,29.160,0.227,29.499,0.252,29.873,0.173,29.184,0.226,29.487,0.250,29.827,0.174,29.199,0.225,29.522,0.252,29.890
0.364,28.209,0.351,29.162,0.398,29.774,0.269,28.696,0.355,29.194,0.396,29.762,0.268,28.717,0.357,29.187,0.393,29.719,0.272,28.723,0.356,29.219,0.398,29.810
0.461,27.740,0.477,28.854,0.540,29.684,0.364,28.218,0.483,28.876,0.541,29.665,0.365,28.232,0.481,28.888,0.539,29.620,0.370,28.242,0.487,28.916,0.540,29.726
0.562,27.261,0.607,28.557,0.684,29.605,0.464,27.754,0.611,28.564,0.685,29.589,0.468,27.759,0.609,28.589,0.682,29.520,0.468,27.776,0.615,28.622,0.687,29.646
0.661,26.802,0.737,28.250,0.828,29.505,0.563,27.269,0.738,28.273,0.829,29.499,0.565,27.285,0.738,28.298,0.828,29.412,0.571,27.314,0.744,28.324,0.829,29.570
0.762,26.334,0.866,27.953,0.970,29.425,0.665,26.812,0.869,27.982,0.973,29.416,0.666,26.835,0.867,27.999,0.971,29.296,0.671,26.852,0.871,28.036,0.974,29.490
0.868,25.895,0.994,27.662,1.116,29.345,0.871,25.905,0.998,27.685,1.118,29.319,0.768,26.373,0.999,27.700,1.115,29.196,0.773,26.396,0.998,27.747,1.117,29.413
0.974,25.446,1.124,27.371,1.260,29.246,0.977,25.455,1.126,27.394,1.262,29.243,0.872,25.923,1.126,27.409,1.260,29.096,0.878,25.953,1.127,27.475,1.262,29.341
1.082,25.70,1.255,27.078,1.406,29.156,1.082,25.025,1.256,27.103,1.406,29.153,0.978,25.479,1.258,27.126,1.406,28.971,0.985,25.520,1.256,27.192,1.405,29.265
1.192,24.598,1.384,26.787,1.548,29.076,1.193,24.610,1.388,26.805,1.549,29.070,1.087,25.052,1.387,26.827,1.550,28.880,1.093,25.087,1.386,26.910,1.548,29.189
1.305,24.189,1.514,26.510,1.692,28.986,1.307,24.201,1.515,26.521,1.692,28.987,1.201,24.631,1.520,26.553,1.693,28.772,1.205,24.674,1.516,26.634,1.692,29.121
1.420,23.791,1.644,26.223,1.839,28.907,1.421,23.820,1.646,26.237,1.837,28.883,1.310,24.232,1.650,26.270,1.836,28.681,1.317,24.265,1.647,26.362,1.836,29.041
1.539,23.412,1.776,25.949,1.978,28.817,1.542,23.446,1.778,25.967,1.983,28.800,1.429,23.846,1.781,25.988,1.982,28.564,1.431,23.880,1.779,26.090,1.981,28.965
1.658,23.063,1.908,25.675,2.122,28.727,1.660,23.086,1.911,25.697,2.126,28.710,1.544,23.470,1.912,25.730,2.124,28.464,1.551,23.510,1.911,25.835,2.123,28.896
1.782,22.733,2.040,25.404,2.269,28.647,1.789,22.754,2.042,25.434,2.270,28.627,1.666,23.124,2.046,25.448,2.267,28.361,1.671,23.154,2.041,25.568,2.267,28.816
1.911,22.414,2.173,25.144,2.413,28.558,1.912,22.435,2.173,25.164,2.412,28.523,1.789,22.784,2.177,25.198,2.410,28.257,1.795,22.817,2.175,25.311,2.412,28.748
2.039,22.115,2.306,24.893,2.555,28.468,2.039,22.158,2.305,24.921,2.556,28.453,1.916,22.472,2.312,24.932,2.552,28.140,1.922,22.505,2.308,25.063,2.556,28.676
2.170,21.836,2.439,24.639,2.701,28.388,2.173,21.867,2.442,24.665,2.700,28.363,2.046,22.172,2.445,24.683,2.699,28.032,2.052,22.216,2.442,24.816,2.700,28.596
2.305,21.597,2.574,24.396,2.845,28.298,2.305,21.611,2.577,24.409,2.847,28.263,2.179,21.906,2.582,24.446,2.837,27.933,2.182,21.942,2.577,24.575,2.844,28.524
2.440,21.377,2.711,24.159,2.989,28.218,2.441,21.382,2.713,24.167,2.989,28.169,2.311,21.664,2.714,24.218,2.986,27.841,2.316,21.697,2.712,24.344,2.989,28.456
2.579,21.178,2.844,23.921,3.133,28.139,2.578,21.175,2.849,23.938,3.135,28.079,2.445,21.445,2.851,23.977,3.121,27.741,2.453,21.471,2.848,24.111,3.133,28.383
2.719,20.998,2.982,23.694,3.277,28.049,2.717,21.800,2.982,23.709,3.276,28.700,2.584,21.237,2.986,23.752,3.275,27.642,2.589,21.276,2.984,23.892,3.275,28.311
2.861,20.849,3.118,23.487,3.421,27.969,2.858,20.856,3.116,23.488,3.421,27.906,2.724,21.058,3.124,23.545,3.415,27.534,2.726,21.091,3.121,23.673,3.420,28.243
3.000,20.709,3.254,23.267,3.563,27.889,3.200,20.711,3.258,23.266,3.565,27.823,2.864,20.891,3.258,23.329,3.560,27.442,2.865,20.942,3.258,23.469,3.563,28.171
3.144,20.589,3.394,23.066,3.707,27.810,3.144,20.600,3.394,23.065,3.709,27.740,3.600,20.758,3.398,23.112,3.702,27.351,3.100,20.797,3.396,23.262,3.710,28.099
3.288,20.490,3.532,22.866,3.854,27.740,3.290,20.496,3.532,22.865,3.851,27.664,3.148,20.637,3.535,22.946,3.849,27.251,3.151,20.682,3.534,23.075,3.853,28.031
3.430,20.400,3.673,22.682,3.998,27.640,3.430,20.413,3.671,22.684,3.998,27.588,3.290,20.539,3.674,22.747,3.993,27.160,3.293,20.581,3.675,22.877,3.999,27.959
3.577,20.320,3.809,22.502,4.140,27.570,3.576,20.330,3.807,22.491,4.139,27.494,3.434,20.452,3.813,22.564,4.141,27.060,3.438,20.485,3.815,22.700,4.145,27.890
3.723,20.270,3.951,22.322,4.284,27.490,3.720,20.261,3.948,22.317,4.284,27.428,3.577,20.383,3.954,22.389,4.288,26.960,3.581,20.417,3.953,22.526,4.288,27.822
3.867,20.220,4.092,22.165,4.430,27.421,3.867,20.226,4.089,22.137,4.431,27.338,3.722,20.314,4.093,22.223,4.423,26.877,3.725,20.350,4.095,22.365,4.434,27.754
3.867,20.220,4.232,22.110,4.572,27.331,4.120,20.191,4.229,21.992,4.573,27.255,3.864,20.262,4.233,22.065,4.567,26.777,3.871,20.292,4.233,22.204,4.578,27.694
4.110,20.180,4.372,21.857,4.716,27.261,4.156,20.143,4.372,21.840,4.720,27.179,4.120,20.221,4.374,21.924,4.715,26.694,4.014,20.249,4.380,22.057,4.722,27.634
4.158,20.141,4.515,21.714,4.860,27.191,4.301,20.115,4.515,21.694,4.861,27.103,4.156,20.181,4.515,21.774,4.854,26.620,4.161,20.211,4.521,21.904,4.867,27.566
4.304,20.111,4.656,21.587,5.400,27.102,4.447,20.094,4.655,21.556,4.997,27.020,4.301,20.152,4.659,21.658,5.100,26.520,4.306,20.182,4.662,21.759,5.100,27.510
4.448,20.091,4.801,21.457,,,4.589,20.067,4.800,21.431,,,4.446,20.129,4.802,21.533,,,4.448,20.148,4.806,21.644,,
4.594,20.071,4.942,21.340,,,4.737,20.053,4.939,21.306,,,4.591,20.100,4.943,21.400,,,4.594,20.129,4.948,21.519,,
4.738,20.051,4.999,21.303,,,4.883,20.046,5.000,21.265,,,4.735,20.083,5.300,21.367,,,4.741,20.105,5.000,21.471,,
4.882,20.051,,,,,4.998,20.039,,,,,4.880,20.071,,,,,4.885,20.090,,,,
4.997,20.041,,,,,,,,,,,4.997,20.060,,,,,4.999,20.081,,,,
