X_7days,T_7days,X_30days,T_30days,X_365days,T_365days
0,30,0,30,0,30
0.02671,29.82737,0.04562,29.88649,0.08063,29.94888
0.04642,29.69852,0.08266,29.75223,0.13625,29.89892
0.06835,29.54308,0.13541,29.57818,0.18737,29.84896
0.08777,29.4043,0.17805,29.429,0.23698,29.80899
0.10531,29.27662,0.22743,29.2649,0.28735,29.75903
0.12222,29.15727,0.28692,29.06599,0.33545,29.71906
0.14039,29.02404,0.33517,28.90189,0.39183,29.66244
0.15855,28.90192,0.3767,28.75768,0.4452,29.61581
0.17484,28.77701,0.42271,28.60352,0.50384,29.55918
0.19238,28.66044,0.47434,28.43445,0.55871,29.50256
0.20867,28.53831,0.5125,28.30515,0.6196,29.44927
0.22245,28.44672,0.56861,28.12613,0.68124,29.38931
0.23748,28.33569,0.6135,27.97695,0.74138,29.33269
0.25565,28.21079,0.66737,27.79793,0.81053,29.26608
0.27381,28.07201,0.71675,27.6388,0.86691,29.21612
0.29449,27.93323,0.76614,27.46973,0.92404,29.15949
0.31391,27.80277,0.81215,27.32055,0.98643,29.10287
0.33896,27.62791,0.86602,27.15147,1.03454,29.0629
0.35901,27.48358,0.91877,26.9824,1.0834,29.00628
0.38031,27.32537,0.9659,26.83819,1.13227,28.96298
0.40286,27.17271,1.02875,26.64425,1.16985,28.93633
0.42228,27.0367,1.0916,26.45031,1.21796,28.88637
0.44796,26.87294,1.14772,26.28124,1.26532,28.8464
0.4749,26.70085,1.19934,26.12708,1.31869,28.79311
0.49745,26.54264,1.25321,25.96795,1.37807,28.73982
0.53002,26.33725,1.31606,25.78396,1.4322,28.68986
0.55445,26.17071,1.36544,25.63975,1.48031,28.64656
0.57888,26.01805,1.42604,25.46073,1.52766,28.60326
0.60206,25.87649,1.48216,25.30658,1.56901,28.56662
0.62586,25.72384,1.54501,25.13253,1.6096,28.52665
0.65343,25.55452,1.59663,24.99329,1.66222,28.47003
0.6741,25.42684,1.65724,24.82919,1.72461,28.41008
0.69728,25.29362,1.72233,24.66509,1.80354,28.33014
0.71732,25.16871,1.78518,24.50596,1.86142,28.27685
0.7405,25.03271,1.83905,24.36672,1.91855,28.22356
0.76994,24.86895,1.88506,24.24738,1.97343,28.18359
0.79187,24.74404,1.94903,24.09322,2.03281,28.1303
0.82068,24.58306,2.00964,23.94901,2.10047,28.07034
0.84574,24.44983,2.08371,23.77496,2.16361,28.00706
0.86829,24.32492,2.15105,23.62081,2.2275,27.95044
0.89084,24.21112,2.2139,23.48157,2.28914,27.90047
0.91527,24.089,2.26889,23.36222,2.35605,27.83386
0.93845,23.96132,2.325,23.24288,2.41468,27.7839
0.96664,23.83087,2.38673,23.11856,2.48835,27.72061
0.99671,23.68376,2.45407,22.98429,2.56277,27.65067
1.0274,23.53665,2.5113,22.87489,2.63944,27.58405
1.05309,23.41452,2.57415,22.75057,2.71837,27.52077
1.08002,23.28962,2.65159,22.61133,2.79805,27.44083
1.11385,23.15084,2.73464,22.46712,2.86721,27.37755
1.14204,23.02871,2.80871,22.34281,2.93411,27.32093
1.17085,22.91491,2.89401,22.20357,2.99575,27.26763
1.20217,22.78168,2.97032,22.09417,3.05589,27.221
1.23162,22.66511,3.05562,21.9599,3.12129,27.16105
1.26168,22.56241,3.14989,21.82564,3.18368,27.11442
1.29676,22.42363,3.23518,21.71126,3.25208,27.05114
1.33184,22.3015,3.32721,21.59192,3.31297,26.99784
1.3782,22.15162,3.40689,21.49246,3.37611,26.94788
1.42518,22.00173,3.47535,21.41787,3.43775,26.90125
1.46527,21.87961,3.54381,21.34328,3.50015,26.84463
1.50912,21.7547,3.62574,21.25377,3.55953,26.798
1.55986,21.6187,3.72001,21.16426,3.62267,26.74804
1.60559,21.49102,3.82327,21.05983,3.68356,26.69475
1.65508,21.38555,3.95233,20.95043,3.7422,26.64812
1.69642,21.2884,3.88836,21.00016,3.79707,26.60149
1.7409,21.18848,4.0365,20.87584,3.85119,26.56152
1.78788,21.09411,4.1218,20.81119,3.91283,26.51489
1.83173,21.01084,4.20821,20.75152,3.96245,26.47159
1.88811,20.91924,4.28453,20.70676,4.01732,26.41829
1.94637,20.82487,4.37095,20.64709,4.06618,26.37833
2.01277,20.73883,4.45399,20.59736,4.1188,26.34169
2.11487,20.59172,4.55725,20.53769,4.17819,26.2884
2.2245,20.48625,4.63581,20.50288,4.23457,26.2351
2.31282,20.40298,4.7211,20.4631,4.28493,26.19847
2.40303,20.33636,4.80191,20.42332,4.32928,26.16516
2.47068,20.30583,4.87373,20.39845,4.37513,26.12852
2.54397,20.2531,4.93883,20.37856,4.43602,26.08189
2.61914,20.21701,4.99494,20.34873,4.47812,26.04858
2.69306,20.19203,,,4.53299,25.99862
2.7745,20.16705,,,4.58862,25.95532
2.85593,20.12819,,,4.63898,25.92535
2.93298,20.11431,,,4.69762,25.87205
3.00565,20.09766,,,4.75174,25.83208
3.19545,20.06713,,,4.79985,25.80544
3.28942,20.04492,,,4.86299,25.75215
3.42347,20.04492,,,4.91937,25.70885
3.59699,20.03382,,,,
3.71664,20.02549,,,,
3.86197,20.02272,,,,
3.98287,20.01717,,,,
4.14323,20.01162,,,,
4.29984,20.00607,,,,
4.4602,20.01717,,,,
4.69135,20.01439,,,,
4.86487,20.01994,,,,
4.99642,20.01439,,,,
