X_7days_100R40,W_7days_100R40,X_30days_100R40,W_30days_100R40,X_365days_100R40,W_365days_100R40,X_7days_100R80,W_7days_100R80,X_30days_100R80,W_30days_100R80,X_365days_100R80,W_365days_100R80,X_7days_200R40,W_7days_200R40,X_30days_200R40,W_30days_200R40,X_365days_200R40,W_365days_200R40,X_365days_200R80,W_365days_200R80,X_30days_200R80,W_30days_200R80,X_7days_200R80,W_7days_200R80
0.000,128.316,0.000,128.139,0.000,128.339,0.000,128.318,0.000,128.371,0.000,128.149,0.000,124.731,0.000,128.408,0.000,128.420,0.000,128.218,0.000,128.178,0.000,128.396
0.001,123.142,0.001,125.012,0.002,126.974,0.001,124.748,0.002,120.551,0.002,127.070,-0.000,128.352,0.001,125.447,0.002,127.148,0.001,124.664,0.001,125.121,0.002,126.730
0.001,119.624,0.002,120.725,0.005,124.563,0.001,119.858,0.004,116.110,0.005,124.615,0.001,119.701,0.003,120.140,0.005,124.738,0.001,119.970,0.003,120.616,0.004,124.172
0.002,114.805,0.004,116.323,0.007,121.992,0.002,114.851,0.005,111.572,0.007,122.048,0.002,115.141,0.004,116.172,0.007,122.394,0.002,114.940,0.004,116.351,0.007,121.575
0.003,109.985,0.005,111.920,0.010,119.420,0.003,110.000,0.006,106.937,0.010,119.536,0.003,110.245,0.005,111.590,0.010,119.782,0.003,109.909,0.005,111.684,0.009,118.784
0.003,105.150,0.006,107.169,0.012,116.607,0.003,104.993,0.007,102.012,0.012,116.577,0.003,105.215,0.006,106.840,0.012,117.170,0.003,104.879,0.006,106.856,0.012,115.760
0.004,100.222,0.007,102.418,0.014,113.793,0.004,100.103,0.008,96.991,0.014,114.066,0.004,100.252,0.007,102.090,0.014,114.290,0.004,99.983,0.007,102.028,0.014,112.891
0.005,95.184,0.009,97.784,0.017,110.738,0.005,95.212,0.009,92.645,0.017,111.107,0.004,95.356,0.008,97.285,0.017,111.275,0.004,95.087,0.008,97.280,0.016,109.556
0.005,90.270,0.010,92.917,0.019,107.522,0.005,90.167,0.010,87.624,0.019,107.813,0.005,90.326,0.009,92.647,0.019,108.126,0.005,90.258,0.009,92.532,0.018,106.299
0.006,85.342,0.011,88.166,0.021,104.306,0.006,85.199,0.011,83.085,0.021,104.686,0.006,85.363,0.010,87.785,0.021,104.977,0.005,85.228,0.010,87.704,0.020,102.614
0.007,80.507,0.012,83.647,0.023,101.170,0.006,80.153,0.012,78.354,0.024,101.392,0.006,80.333,0.011,83.147,0.024,101.694,0.006,80.265,0.011,82.876,0.022,99.240
0.008,75.656,0.013,78.896,0.026,97.632,0.007,75.418,0.013,73.719,0.026,98.041,0.007,75.504,0.012,78.397,0.026,98.477,0.006,75.168,0.012,78.048,0.024,95.672
0.009,70.775,0.014,74.378,0.028,94.416,0.008,70.451,0.014,68.794,0.028,94.747,0.007,70.675,0.013,73.759,0.028,95.127,0.007,71.211,0.013,73.300,0.026,92.104
0.009,66.002,0.015,69.859,0.030,91.038,0.009,65.677,0.016,64.740,0.030,91.340,0.008,65.712,0.014,69.121,0.030,91.777,0.008,65.510,0.014,68.794,0.028,88.459
0.010,61.105,0.017,65.109,0.032,87.742,0.009,60.787,0.017,59.913,0.032,87.990,0.009,60.817,0.016,64.707,0.032,88.426,0.008,61.755,0.015,64.530,0.030,84.891
0.011,56.208,0.018,60.938,0.034,84.445,0.010,56.053,0.019,56.439,0.035,84.584,0.010,56.324,0.018,60.015,0.035,85.076,0.010,56.123,0.017,60.187,0.032,81.517
0.013,52.294,0.020,57.116,0.037,81.148,0.012,51.940,0.022,53.062,0.037,81.345,0.012,51.832,0.020,56.385,0.037,81.860,0.012,51.698,0.020,56.407,0.035,77.949
0.015,48.647,0.022,53.526,0.039,77.932,0.014,48.372,0.024,51.230,0.039,78.163,0.014,48.348,0.022,53.034,0.039,78.576,0.014,48.348,0.022,52.949,0.037,74.769
0.017,45.016,0.024,50.747,0.041,74.796,0.016,45.892,0.027,48.723,0.041,74.980,0.016,45.870,0.024,50.634,0.041,75.562,0.016,46.004,0.024,50.539,0.039,71.396
0.019,43.710,0.027,48.434,0.044,71.903,0.019,44.460,0.030,46.796,0.044,72.133,0.019,44.332,0.026,48.458,0.044,72.681,0.019,44.600,0.027,48.772,0.042,68.334
0.022,42.872,0.030,46.700,0.046,69.250,0.022,43.688,0.032,45.738,0.044,71.966,0.022,43.531,0.029,46.674,0.046,70.069,0.022,43.733,0.030,47.006,0.045,65.543
0.025,42.768,0.032,45.545,0.049,66.678,0.025,43.072,0.035,44.874,0.046,69.342,0.025,43.134,0.032,45.505,0.049,67.390,0.025,43.269,0.032,45.883,0.047,62.869
0.028,42.804,0.035,44.623,0.051,64.509,0.028,42.922,0.038,44.396,0.049,66.719,0.028,42.937,0.036,44.504,0.051,65.113,0.028,43.273,0.035,45.164,0.050,60.622
0.031,42.809,0.038,44.048,0.054,62.260,0.031,42.927,0.041,43.821,0.051,64.655,0.031,42.876,0.038,44.118,0.054,63.038,0.031,43.211,0.038,44.444,0.053,58.724
0.034,42.813,0.041,43.530,0.056,60.252,0.034,42.815,0.044,43.439,0.054,62.367,0.034,42.880,0.041,43.731,0.057,61.098,0.034,43.048,0.041,44.046,0.056,57.021
0.037,42.787,0.044,43.255,0.059,58.727,0.037,42.820,0.048,43.039,0.056,60.471,0.037,42.844,0.044,43.456,0.059,59.291,0.037,42.975,0.044,43.810,0.058,55.550
0.040,42.823,0.047,43.151,0.062,56.961,0.040,42.864,0.052,43.111,0.059,58.687,0.039,42.843,0.048,43.351,0.062,57.686,0.040,43.019,0.048,43.422,0.062,53.925
0.043,42.844,0.050,43.022,0.065,55.677,0.043,42.830,0.054,42.982,0.062,57.294,0.042,42.848,0.051,43.413,0.065,56.282,0.043,42.946,0.051,43.349,0.064,52.727
0.046,42.817,0.053,43.000,0.068,54.233,0.046,42.913,0.057,43.054,0.065,55.901,0.045,42.853,0.054,43.306,0.068,55.012,0.046,42.990,0.054,43.237,0.067,51.645
0.048,42.838,0.056,43.005,0.070,53.191,0.049,42.917,0.061,42.992,0.068,54.396,0.048,42.803,0.057,43.199,0.071,53.876,0.049,42.917,0.057,43.281,0.070,50.601
0.051,42.842,0.059,42.984,0.073,52.150,0.051,42.883,0.064,43.065,0.070,53.395,0.051,42.808,0.061,43.205,0.073,52.875,0.051,42.961,0.060,43.247,0.073,49.830
0.054,42.832,0.063,42.909,0.076,51.430,0.054,42.849,0.067,43.003,0.073,52.282,0.054,42.813,0.064,43.154,0.076,51.940,0.054,42.966,0.063,43.136,0.076,49.097
0.057,42.852,0.067,42.915,0.079,50.227,0.057,42.854,0.071,43.076,0.076,51.448,0.057,42.818,0.067,43.103,0.079,51.073,0.057,42.971,0.066,43.141,0.079,48.365
0.060,42.904,0.067,42.915,0.082,49.588,0.060,42.859,0.074,43.015,0.079,50.614,0.060,42.796,0.070,43.108,0.082,50.340,0.057,42.971,0.069,43.185,0.082,47.904
0.063,42.862,0.070,42.894,0.085,49.029,0.063,42.844,0.077,43.020,0.082,49.724,0.063,42.774,0.073,43.002,0.085,49.540,0.059,42.936,0.072,43.112,0.085,47.365
