X_7days-dt=001,W_7days-dt=001,X_30days-dt=001,W_30days-dt=001,X_365days-dt=001,W_365days-dt=001,X_7days-dt=01,W_7days-dt=01,X_30days-dt=01,W_30days-dt=01,X_365days-dt=01,W_365days-dt=01,X_7days-dt=1,W_7days-dt=1,X_30days-dt=1,W_30days-dt=1,X_365days-dt=1,W_365days-dt=1
0.000,128.292,0.000,128.292,0.000,128.337,0.000,128.314,0.000,128.348,0.000,128.414,0.000,128.283,0.000,128.258,0.000,128.484
0.000,124.653,0.001,125.017,0.002,126.882,0.000,124.484,0.001,125.139,0.002,126.973,0.001,124.844,0.001,125.202,0.002,126.673
0.001,119.787,0.002,120.560,0.005,124.517,0.001,119.769,0.002,120.686,0.005,124.550,0.001,119.878,0.003,120.675,0.004,124.184
0.002,114.784,0.004,115.967,0.007,122.016,0.002,114.661,0.004,116.101,0.007,122.061,0.002,114.966,0.004,116.149,0.007,121.581
0.002,109.827,0.005,111.282,0.010,119.287,0.002,109.814,0.005,111.321,0.010,119.376,0.003,110.000,0.005,111.622,0.009,118.638
0.003,104.870,0.006,106.416,0.012,116.513,0.003,104.837,0.006,106.736,0.012,116.298,0.003,105.033,0.006,106.642,0.012,115.696
0.003,99.776,0.007,101.732,0.014,113.511,0.003,99.860,0.007,101.955,0.014,113.351,0.004,100.012,0.007,102.002,0.014,112.414
0.004,94.910,0.007,96.865,0.017,110.373,0.004,94.751,0.008,96.912,0.017,110.207,0.004,94.991,0.008,97.249,0.016,109.132
0.004,89.816,0.008,92.044,0.019,107.053,0.004,89.839,0.008,92.328,0.019,106.933,0.005,90.080,0.009,92.383,0.018,105.850
0.005,84.949,0.009,87.269,0.021,104.051,0.005,84.928,0.009,87.351,0.021,103.658,0.005,85.059,0.010,87.630,0.020,102.342
0.005,79.901,0.010,82.357,0.023,100.640,0.005,79.819,0.010,82.570,0.023,100.318,0.006,80.092,0.011,82.877,0.022,98.834
0.006,74.989,0.011,77.627,0.025,97.138,0.006,74.973,0.011,77.920,0.025,96.978,0.006,75.126,0.012,78.011,0.025,95.212
0.007,69.941,0.012,72.806,0.027,93.773,0.007,69.930,0.012,73.205,0.027,93.900,0.007,70.159,0.013,73.371,0.027,91.591
0.007,65.166,0.013,68.440,0.030,90.225,0.007,65.084,0.014,68.293,0.030,90.429,0.008,65.248,0.014,68.844,0.029,87.970
0.008,60.208,0.015,63.710,0.032,86.678,0.008,60.368,0.015,63.905,0.032,86.892,0.009,60.554,0.016,64.430,0.031,84.348
0.009,55.342,0.017,59.390,0.034,83.403,0.009,55.588,0.017,59.452,0.034,83.290,0.010,55.970,0.017,60.243,0.033,80.840
0.011,50.749,0.019,55.387,0.036,80.038,0.011,51.069,0.019,55.522,0.036,80.081,0.012,51.876,0.019,56.735,0.035,77.445
0.013,47.383,0.021,52.113,0.038,76.809,0.013,47.401,0.021,52.248,0.038,76.610,0.014,48.384,0.021,53.340,0.037,74.276
0.015,45.018,0.023,49.475,0.041,73.761,0.015,45.305,0.023,50.021,0.041,73.729,0.016,46.037,0.024,50.850,0.039,71.221
0.019,43.745,0.026,47.792,0.043,70.851,0.018,44.061,0.026,48.056,0.043,70.782,0.019,44.563,0.027,48.700,0.042,68.278
0.022,43.108,0.029,46.291,0.045,68.213,0.021,43.406,0.028,46.550,0.046,68.162,0.022,43.799,0.029,47.002,0.044,65.562
0.025,42.880,0.031,45.154,0.048,65.711,0.025,43.144,0.031,45.469,0.048,65.673,0.025,43.417,0.032,45.984,0.047,63.186
0.028,42.835,0.034,44.427,0.051,63.483,0.028,42.948,0.034,44.585,0.051,63.447,0.028,43.253,0.035,44.965,0.050,61.035
0.031,42.835,0.037,43.836,0.053,61.345,0.031,42.817,0.037,43.996,0.053,61.285,0.031,43.199,0.038,44.400,0.052,59.112
0.033,42.926,0.040,43.517,0.056,59.481,0.033,42.948,0.040,43.603,0.056,59.517,0.034,43.100,0.041,43.947,0.055,57.301
0.036,42.880,0.042,43.381,0.059,57.798,0.036,42.948,0.043,43.406,0.059,57.749,0.036,43.043,0.044,43.607,0.058,55.830
0.039,42.926,0.045,43.290,0.061,56.206,0.038,42.948,0.045,43.275,0.062,56.308,0.039,43.062,0.047,43.607,0.061,54.358
0.041,42.835,0.047,43.199,0.064,54.842,0.041,42.948,0.047,43.210,0.064,54.998,0.042,42.911,0.050,43.155,0.063,53.114
0.044,42.835,0.050,43.017,0.067,53.614,0.044,42.948,0.050,43.144,0.067,53.688,0.045,42.835,0.052,43.268,0.066,51.982
0.047,42.835,0.052,43.017,0.070,52.477,0.047,42.817,0.052,43.144,0.070,52.575,0.048,42.797,0.055,43.155,0.069,50.963
0.050,42.880,0.055,42.971,0.073,51.522,0.050,42.751,0.055,42.948,0.073,51.593,0.051,42.759,0.058,43.155,0.072,50.171
0.052,42.835,0.058,42.926,0.076,50.612,0.053,42.817,0.057,42.948,0.076,50.676,0.054,42.721,0.061,43.155,0.075,49.266
0.055,42.835,0.061,42.926,0.079,49.884,0.055,42.817,0.060,43.013,0.079,49.955,0.057,42.797,0.064,43.042,0.078,48.587
0.058,42.835,0.064,42.926,0.082,49.111,0.058,42.817,0.062,42.948,0.081,49.300,0.060,42.759,0.067,43.042,0.081,48.021
0.061,42.835,0.067,42.926,0.084,48.611,0.061,42.817,0.064,42.882,0.084,48.776,0.063,42.797,0.070,42.928,0.083,47.455
0.065,42.880,0.070,42.926,0.087,48.111,0.063,42.882,0.067,42.882,0.086,48.187,0.066,42.721,0.072,42.928,0.086,46.889
0.067,42.880,0.073,42.926,0.089,47.610,0.065,42.948,0.069,42.948,0.089,47.663,0.068,42.759,0.075,43.042,0.089,46.323
0.071,42.880,0.076,42.926,0.092,47.087,0.068,42.948,0.071,42.981,0.092,47.139,0.071,43.037,0.078,43.042,0.092,45.984
0.074,42.880,0.079,42.971,0.095,46.610,0.070,42.882,0.073,42.981,0.095,46.681,0.075,43.200,0.080,42.702,0.095,45.644
0.077,42.926,0.082,42.971,0.098,46.246,0.072,42.882,0.076,42.948,0.098,46.288,0.078,43.119,0.083,42.815,0.098,45.305
0.080,42.880,0.085,42.971,0.100,45.973,0.075,42.948,0.078,42.981,0.100,45.960,0.081,43.037,0.086,42.928,0.100,45.079
0.082,42.880,0.088,42.971,,,0.077,42.882,0.080,42.948,,,0.084,43.200,0.089,42.815,,
0.085,42.926,0.092,42.971,,,0.080,42.882,0.083,42.948,,,0.086,43.037,,,,
0.088,42.926,0.094,42.971,,,0.082,42.882,0.085,42.948,,,0.090,43.281,,,,
0.091,42.880,0.097,42.971,,,0.086,42.882,0.087,42.981,,,0.092,43.281,,,,
0.094,42.880,0.100,42.926,,,0.089,42.882,0.090,42.948,,,0.095,43.281,,,,
0.097,42.880,,,,,0.092,42.882,0.092,43.013,,,0.098,43.037,,,,
0.100,42.880,,,,,0.095,42.882,0.094,43.013,,,0.100,43.037,,,,
,,,,,,0.098,42.817,0.096,43.013,,,,,,,,
,,,,,,0.100,42.948,0.098,43.013,,,,,,,,
,,,,,,,,0.100,43.013,,,,,,,,
