X_7days_100R40,W_7days_100R40,X_30days_100R40,W_30days_100R40,X_365days_100R40,W_365days_100R40,X_7days_200R40,W_7days_200R40,X_30days_200R40,W_30days_200R40,X_365days_200R40,W_365days_200R40,X_7days_200R80,W_7days_200R80,X_30days_200R80,W_30days_200R80,X_365days_200R80,W_365days_200R80,X_7days_100R80,W_7days_100R80,X_30days_100R80,W_30days_100R80,X_365days_100R80,W_365days_100R80
0.000,128.363,0.000,128.398,0.000,128.470,0.000,128.401,0.000,128.444,0.000,128.497,0.000,128.309,0.000,128.398,0.000,128.401,,,,,,
0.001,124.565,0.001,125.688,0.002,126.851,0.001,124.822,0.001,125.124,0.002,126.877,0.001,124.638,0.001,125.097,0.002,126.841,,,,,,
0.001,120.215,0.002,120.468,0.004,124.912,0.001,119.912,0.003,120.743,0.005,124.593,0.001,120.004,0.003,120.646,0.005,124.592,,,,,,
0.002,114.873,0.004,116.107,0.007,122.097,0.002,114.910,0.004,115.963,0.007,122.044,0.002,114.681,0.004,115.966,0.007,122.160,,,,,,
0.002,109.642,0.005,111.614,0.010,119.362,0.002,110.230,0.005,111.262,0.010,119.495,0.002,109.817,0.005,111.285,0.009,119.774,,,,,,
0.003,105.072,0.006,106.922,0.012,116.706,0.003,105.090,0.006,106.748,0.012,116.600,0.003,104.861,0.006,106.513,0.012,116.516,,,,,,
0.004,100.006,0.007,102.164,0.014,113.706,0.003,99.997,0.007,101.915,0.014,113.573,0.003,99.767,0.006,101.740,0.014,113.534,,,,,,
0.004,95.050,0.008,97.407,0.017,110.811,0.004,95.087,0.008,97.108,0.017,110.678,0.004,94.811,0.007,96.876,0.017,110.413,,,,,,
0.005,90.149,0.009,92.715,0.019,107.624,0.004,90.039,0.009,92.275,0.019,107.465,0.004,89.764,0.008,92.058,0.019,107.201,,,,,,
0.005,85.138,0.010,88.024,0.021,104.305,0.005,85.037,0.009,87.442,0.021,104.199,0.005,84.899,0.009,87.240,0.021,103.989,,,,,,
0.006,80.127,0.011,83.134,0.023,101.065,0.005,80.127,0.010,82.636,0.023,100.879,0.005,79.898,0.010,82.559,0.023,100.685,,,,,,
0.007,75.392,0.012,78.508,0.026,97.613,0.006,75.079,0.011,77.882,0.026,97.507,0.006,74.896,0.011,77.787,0.025,97.243,,,,,,
0.008,70.436,0.014,73.949,0.028,94.240,0.006,70.169,0.012,73.155,0.028,94.081,0.006,70.032,0.012,72.923,0.028,93.802,,,,,,
0.008,65.590,0.015,69.323,0.030,90.815,0.007,65.259,0.013,68.535,0.030,90.682,0.007,65.581,0.013,68.288,0.030,90.406,,,,,,
0.009,60.689,0.016,64.698,0.032,87.469,0.008,60.441,0.015,64.127,0.032,87.203,0.008,60.212,0.015,63.837,0.032,86.964,,,,,,
0.010,55.788,0.017,60.204,0.034,84.123,0.009,55.485,0.016,59.904,0.034,83.804,0.009,55.761,0.016,59.707,0.034,83.615,,,,,,
0.011,50.998,0.019,56.636,0.037,80.830,0.010,51.493,0.018,56.054,0.036,80.511,0.010,51.355,0.018,55.944,0.036,80.265,,,,,,
0.012,46.868,0.021,53.002,0.039,77.643,0.012,47.547,0.020,52.708,0.039,77.271,0.012,47.730,0.021,52.044,0.038,77.053,,,,,,
0.015,44.720,0.024,49.830,0.041,74.510,0.015,45.023,0.024,49.521,0.041,74.111,0.015,45.344,0.023,49.245,0.041,73.886,,,,,,
0.017,42.793,0.026,47.914,0.043,71.721,0.018,43.555,0.026,47.503,0.043,71.270,0.018,43.968,0.026,47.363,0.043,70.995,,,,,,
0.020,42.628,0.029,46.262,0.046,68.960,0.021,43.004,0.029,45.883,0.046,68.482,0.020,43.233,0.029,45.987,0.045,68.288,,,,,,
0.023,42.573,0.031,45.337,0.048,66.384,0.023,42.774,0.032,44.874,0.048,65.985,0.023,43.142,0.032,45.115,0.048,65.764,,,,,,
0.026,42.683,0.035,44.147,0.051,64.127,0.026,42.866,0.035,44.130,0.051,63.702,0.026,43.142,0.035,44.381,0.051,63.516,,,,,,
0.029,42.793,0.038,43.751,0.054,61.922,0.029,42.829,0.038,43.705,0.054,61.604,0.029,43.004,0.038,43.830,0.053,61.451,,,,,,
0.032,42.802,0.040,43.519,0.056,60.064,0.032,42.802,0.041,43.440,0.056,59.718,0.032,43.004,0.041,43.600,0.056,59.478,,,,,,
0.035,42.802,0.043,43.254,0.059,58.311,0.035,42.802,0.043,43.307,0.059,58.072,0.035,43.004,0.043,43.325,0.059,57.872,,,,,,
0.038,42.834,0.046,43.148,0.062,56.744,0.038,42.802,0.046,43.227,0.062,56.532,0.038,43.050,0.046,43.233,0.062,56.265,,,,,,
0.041,42.834,0.049,43.121,0.065,55.363,0.041,42.856,0.049,43.201,0.065,55.151,0.041,43.004,0.049,43.142,0.064,54.981,,,,,,
0.043,42.834,0.052,43.095,0.067,54.089,0.044,42.856,0.052,43.174,0.067,53.850,0.043,42.958,0.052,43.096,0.067,53.833,,,,,,
0.046,42.834,0.055,43.095,0.070,53.079,0.047,42.802,0.055,43.148,0.070,52.787,0.046,42.912,0.055,43.050,0.070,52.594,,,,,,
0.049,42.802,0.058,43.068,0.073,51.991,0.050,42.802,0.058,43.041,0.073,51.752,0.049,42.912,0.058,43.004,0.073,51.677,,,,,,
0.052,42.771,0.061,43.068,0.076,51.061,0.053,42.829,0.061,43.121,0.076,50.902,0.052,42.912,0.061,43.004,0.076,50.759,,,,,,
0.055,42.802,0.064,43.015,0.079,50.291,0.055,42.802,0.064,43.068,0.079,50.079,0.055,42.820,0.064,43.004,0.079,49.841,,,,,,
0.058,42.802,0.067,43.015,0.082,49.548,0.058,42.829,0.067,43.068,0.082,49.388,0.058,42.829,0.067,42.958,0.082,49.153,,,,,,
0.061,42.802,0.070,43.041,0.085,48.910,0.061,42.829,0.069,43.095,0.085,48.724,0.061,42.802,0.070,43.004,0.085,48.602,,,,,,
0.064,42.802,0.072,43.015,0.087,48.273,0.064,42.829,0.072,43.095,0.087,48.140,0.064,42.776,0.072,42.958,0.087,47.960,,,,,,
0.067,42.771,0.075,42.988,0.090,47.742,0.066,42.802,0.075,43.068,0.090,47.556,0.067,42.723,0.075,43.004,0.090,47.547,,,,,,
0.070,42.771,0.078,43.015,0.093,47.264,0.069,42.829,0.078,43.041,0.093,47.131,0.070,42.776,0.078,42.935,0.093,47.088,,,,,,
0.072,42.771,0.081,43.015,0.096,46.812,0.072,42.776,0.081,43.015,0.096,46.733,0.072,42.749,0.081,42.935,0.096,46.583,,,,,,
0.075,42.802,0.084,42.988,0.099,46.467,0.075,42.802,0.084,43.041,0.099,46.334,0.075,42.749,0.084,42.935,0.099,46.262,,,,,,
0.078,42.802,0.087,43.015,0.100,46.308,0.078,42.802,0.087,42.988,0.100,46.122,0.078,42.776,0.087,42.909,0.100,46.124,,,,,,
0.081,42.802,0.090,43.041,,,0.081,42.802,0.090,43.041,,,0.081,42.776,0.090,42.909,,,,,,,,
0.084,42.771,0.093,43.068,,,0.084,42.856,0.093,43.015,,,0.084,42.802,0.093,42.909,,,,,,,,
0.087,42.802,0.096,43.095,,,0.087,42.856,0.096,42.962,,,0.087,42.776,0.096,42.909,,,,,,,,
0.090,42.771,0.098,43.068,,,0.090,42.882,0.098,42.962,,,0.090,42.749,0.099,42.962,,,,,,,,
0.093,42.771,0.100,43.095,,,0.093,42.829,0.100,42.962,,,0.093,42.776,0.100,42.988,,,,,,,,
0.096,42.802,,,,,0.096,42.829,,,,,0.096,42.802,,,,,,,,,,
0.099,42.802,,,,,0.098,42.802,,,,,0.099,42.776,,,,,,,,,,
0.100,42.802,,,,,0.100,42.882,,,,,0.100,42.856,,,,,,,,,,
