Number of nodes,sampling_period-60
4 nodes,1173.0782172960016
8 nodes,2095.7587551397423
12 nodes,3151.5031996027446
16 nodes,4130.460572169006
20 nodes,5248.46
24 nodes,6116.453333
28 nodes,7224.727451163255
32 nodes,8080.593265488764
36 nodes,9074.705659140993
40 nodes,10002.205365032265
44 nodes,10928.107363530746
48 nodes,11951.477787475282
52 nodes,12953.22523686078
56 nodes,14067.817827504496
60 nodes,15105.747749911516
64 nodes,15933.476332868762
68 nodes,17275.47667
71 nodes,17675.52333
